(E: 0,C: 0) Reloj 17.99243 | Camiones en Cola: 1
(E: 0,C: 1) Reloj 3.02885 | Camiones en Cola: 1
(E: 0,C: 1) Reloj 3.43097 | Camiones en Cola: 2
(E: 0,C: 1) Reloj 8.08018 | Camiones en Cola: 3
(E: 0,C: 1) Reloj 13.68330 | Camiones en Cola: 4
(E: 0,C: 2) Reloj 1.53993 | Camiones en Cola: 1
(E: 0,C: 2) Reloj 9.33904 | Camiones en Cola: 2
(E: 0,C: 2) Reloj 9.60175 | Camiones en Cola: 3
(E: 0,C: 2) Reloj 16.88180 | Camiones en Cola: 5
(E: 0,C: 3) Reloj 17.00397 | Camiones en Cola: 1
(E: 0,C: 4) Reloj 1.72852 | Camiones en Cola: 1
(E: 0,C: 4) Reloj 1.99441 | Camiones en Cola: 2
(E: 0,C: 4) Reloj 6.16104 | Camiones en Cola: 3
(E: 0,C: 4) Reloj 16.72520 | Camiones en Cola: 5
(E: 0,C: 5) Reloj 0.63856 | Camiones en Cola: 1
(E: 0,C: 5) Reloj 1.50124 | Camiones en Cola: 2
(E: 0,C: 5) Reloj 2.42592 | Camiones en Cola: 3
(E: 0,C: 5) Reloj 2.43054 | Camiones en Cola: 4
(E: 0,C: 5) Reloj 10.27968 | Camiones en Cola: 11
(E: 0,C: 5) Reloj 14.17361 | Camiones en Cola: 19
(E: 0,C: 5) Reloj 14.82864 | Camiones en Cola: 27
(E: 0,C: 6) Reloj 13.42120 | Camiones en Cola: 1
(E: 0,C: 6) Reloj 22.90795 | Camiones en Cola: 2
(E: 0,C: 7) Reloj 8.53663 | Camiones en Cola: 1
(E: 0,C: 8) Reloj 11.70638 | Camiones en Cola: 1
(E: 0,C: 8) Reloj 15.51998 | Camiones en Cola: 2
(E: 0,C: 9) Reloj 20.06037 | Camiones en Cola: 1
(E: 0,C: 10) Reloj 13.53923 | Camiones en Cola: 1
(E: 0,C: 10) Reloj 14.55152 | Camiones en Cola: 2
(E: 0,C: 10) Reloj 19.44059 | Camiones en Cola: 3
(E: 0,C: 11) Reloj 0.26543 | Camiones en Cola: 1
(E: 0,C: 11) Reloj 2.06963 | Camiones en Cola: 2
(E: 0,C: 11) Reloj 5.13939 | Camiones en Cola: 3
(E: 0,C: 11) Reloj 6.02370 | Camiones en Cola: 4
(E: 0,C: 11) Reloj 11.00624 | Camiones en Cola: 9
(E: 0,C: 11) Reloj 12.21683 | Camiones en Cola: 13
(E: 0,C: 12) Reloj 7.99345 | Camiones en Cola: 1
(E: 0,C: 12) Reloj 8.53920 | Camiones en Cola: 2
(E: 0,C: 12) Reloj 11.70494 | Camiones en Cola: 3
(E: 0,C: 12) Reloj 13.03969 | Camiones en Cola: 4
(E: 0,C: 12) Reloj 13.95523 | Camiones en Cola: 7
(E: 0,C: 12) Reloj 14.97110 | Camiones en Cola: 8
(E: 0,C: 13) Reloj 61.15426 | Camiones en Cola: 1
(E: 0,C: 14) Reloj 17.22624 | Camiones en Cola: 1
(E: 0,C: 15) Reloj 6.49004 | Camiones en Cola: 1
(E: 0,C: 16) Reloj 4.42833 | Camiones en Cola: 1
(E: 0,C: 16) Reloj 5.65453 | Camiones en Cola: 2
(E: 0,C: 16) Reloj 8.91269 | Camiones en Cola: 4
(E: 0,C: 16) Reloj 11.93873 | Camiones en Cola: 5
(E: 0,C: 16) Reloj 13.07425 | Camiones en Cola: 7
(E: 0,C: 16) Reloj 13.98039 | Camiones en Cola: 8
(E: 0,C: 17) Reloj 7.50502 | Camiones en Cola: 1
(E: 0,C: 17) Reloj 10.72126 | Camiones en Cola: 2
(E: 0,C: 17) Reloj 13.08352 | Camiones en Cola: 3
(E: 0,C: 17) Reloj 17.63351 | Camiones en Cola: 4
(E: 0,C: 18) Reloj 13.85276 | Camiones en Cola: 1
(E: 0,C: 18) Reloj 14.38234 | Camiones en Cola: 2
(E: 0,C: 18) Reloj 16.21932 | Camiones en Cola: 3
(E: 0,C: 19) Reloj 7.32746 | Camiones en Cola: 1
(E: 0,C: 19) Reloj 15.04273 | Camiones en Cola: 2
(E: 0,C: 20) Reloj 11.68694 | Camiones en Cola: 1
(E: 0,C: 20) Reloj 12.00285 | Camiones en Cola: 2
(E: 0,C: 20) Reloj 12.86701 | Camiones en Cola: 3
