(E: 0,C: 31) Reloj 5.27788 | Camiones en Cola: 2
(E: 0,C: 31) Reloj 9.02560 | Camiones en Cola: 3
(E: 0,C: 31) Reloj 14.72799 | Camiones en Cola: 5
(E: 0,C: 32) Reloj 7.45121 | Camiones en Cola: 1
(E: 0,C: 32) Reloj 7.89286 | Camiones en Cola: 2
(E: 0,C: 32) Reloj 8.90084 | Camiones en Cola: 3
(E: 0,C: 33) Reloj 5.44155 | Camiones en Cola: 1
(E: 0,C: 34) Reloj 14.65468 | Camiones en Cola: 1
(E: 0,C: 34) Reloj 20.88111 | Camiones en Cola: 2
(E: 0,C: 35) Reloj 27.14892 | Camiones en Cola: 1
(E: 0,C: 36) Reloj 0.76587 | Camiones en Cola: 1
(E: 0,C: 36) Reloj 19.53973 | Camiones en Cola: 2
(E: 0,C: 37) Reloj 8.22515 | Camiones en Cola: 1
(E: 0,C: 37) Reloj 19.21431 | Camiones en Cola: 2
(E: 0,C: 38) Reloj 1.78092 | Camiones en Cola: 1
(E: 0,C: 38) Reloj 2.26811 | Camiones en Cola: 2
(E: 0,C: 38) Reloj 6.93826 | Camiones en Cola: 4
(E: 0,C: 38) Reloj 7.39773 | Camiones en Cola: 5
(E: 0,C: 38) Reloj 8.64502 | Camiones en Cola: 7
(E: 0,C: 38) Reloj 9.80052 | Camiones en Cola: 11
(E: 0,C: 38) Reloj 10.95603 | Camiones en Cola: 14
(E: 0,C: 38) Reloj 12.11153 | Camiones en Cola: 20
(E: 0,C: 38) Reloj 13.26704 | Camiones en Cola: 26
(E: 0,C: 38) Reloj 14.42255 | Camiones en Cola: 35
(E: 0,C: 39) Reloj 8.79589 | Camiones en Cola: 1
(E: 0,C: 39) Reloj 10.38086 | Camiones en Cola: 2
(E: 0,C: 39) Reloj 10.55828 | Camiones en Cola: 3
(E: 0,C: 39) Reloj 11.31733 | Camiones en Cola: 5
(E: 0,C: 39) Reloj 12.01182 | Camiones en Cola: 9
(E: 0,C: 39) Reloj 12.70630 | Camiones en Cola: 13
(E: 0,C: 39) Reloj 13.40079 | Camiones en Cola: 18
(E: 0,C: 39) Reloj 14.09528 | Camiones en Cola: 25
(E: 0,C: 39) Reloj 14.78976 | Camiones en Cola: 37
(E: 0,C: 40) Reloj 2.45668 | Camiones en Cola: 1
(E: 0,C: 40) Reloj 6.46816 | Camiones en Cola: 2
(E: 0,C: 40) Reloj 9.44147 | Camiones en Cola: 4
(E: 0,C: 40) Reloj 9.79829 | Camiones en Cola: 5
(E: 0,C: 40) Reloj 11.86252 | Camiones en Cola: 9
(E: 0,C: 40) Reloj 14.28358 | Camiones en Cola: 13
(E: 0,C: 41) Reloj 2.64237 | Camiones en Cola: 1
(E: 0,C: 41) Reloj 6.31353 | Camiones en Cola: 2
(E: 0,C: 41) Reloj 6.63807 | Camiones en Cola: 3
(E: 0,C: 42) Reloj 21.55706 | Camiones en Cola: 1
(E: 0,C: 43) Reloj 13.65275 | Camiones en Cola: 1
(E: 0,C: 43) Reloj 21.34209 | Camiones en Cola: 2
(E: 0,C: 44) Reloj 2.96890 | Camiones en Cola: 1
(E: 0,C: 44) Reloj 10.62516 | Camiones en Cola: 2
(E: 0,C: 44) Reloj 15.02635 | Camiones en Cola: 4
(E: 0,C: 45) Reloj 6.41559 | Camiones en Cola: 1
(E: 0,C: 45) Reloj 12.05958 | Camiones en Cola: 2
(E: 0,C: 45) Reloj 14.19466 | Camiones en Cola: 3
(E: 0,C: 46) Reloj 3.08793 | Camiones en Cola: 1
(E: 0,C: 47) Reloj 12.35030 | Camiones en Cola: 1
(E: 0,C: 47) Reloj 13.91353 | Camiones en Cola: 2
(E: 0,C: 47) Reloj 15.60790 | Camiones en Cola: 3
(E: 0,C: 48) Reloj 0.24115 | Camiones en Cola: 1
(E: 0,C: 48) Reloj 8.35268 | Camiones en Cola: 2
(E: 0,C: 48) Reloj 9.60592 | Camiones en Cola: 4
(E: 0,C: 48) Reloj 14.44102 | Camiones en Cola: 6
(E: 0,C: 49) Reloj 15.43507 | Camiones en Cola: 1
(E: 0,C: 50) Reloj 12.98315 | Camiones en Cola: 1
(E: 0,C: 50) Reloj 28.85462 | Camiones en Cola: 2
(E: 0,C: 51) Reloj 8.04686 | Camiones en Cola: 1
(E: 0,C: 51) Reloj 13.64416 | Camiones en Cola: 2
(E: 0,C: 51) Reloj 17.35317 | Camiones en Cola: 3
(E: 0,C: 52) Reloj 7.56530 | Camiones en Cola: 1
(E: 0,C: 52) Reloj 7.72779 | Camiones en Cola: 2
(E: 0,C: 52) Reloj 9.55990 | Camiones en Cola: 3
(E: 0,C: 52) Reloj 13.11816 | Camiones en Cola: 5
(E: 0,C: 52) Reloj 14.00455 | Camiones en Cola: 7
(E: 0,C: 52) Reloj 15.28001 | Camiones en Cola: 9
(E: 0,C: 53) Reloj 7.72568 | Camiones en Cola: 1
(E: 0,C: 53) Reloj 14.18311 | Camiones en Cola: 2
(E: 0,C: 53) Reloj 26.66689 | Camiones en Cola: 3
(E: 0,C: 54) Reloj 32.73515 | Camiones en Cola: 1
(E: 0,C: 55) Reloj 7.11931 | Camiones en Cola: 1
(E: 0,C: 55) Reloj 12.34455 | Camiones en Cola: 2
(E: 0,C: 55) Reloj 13.14492 | Camiones en Cola: 3
(E: 0,C: 55) Reloj 13.83715 | Camiones en Cola: 6
(E: 0,C: 56) Reloj 5.29042 | Camiones en Cola: 1
(E: 0,C: 56) Reloj 6.19782 | Camiones en Cola: 2
(E: 0,C: 56) Reloj 8.25600 | Camiones en Cola: 3
(E: 0,C: 57) Reloj 52.20317 | Camiones en Cola: 1
(E: 0,C: 58) Reloj 22.82294 | Camiones en Cola: 1
(E: 0,C: 59) Reloj 7.45269 | Camiones en Cola: 1
(E: 0,C: 59) Reloj 12.12082 | Camiones en Cola: 2
(E: 0,C: 59) Reloj 18.29147 | Camiones en Cola: 3
(E: 0,C: 60) Reloj 5.95456 | Camiones en Cola: 1
(E: 0,C: 60) Reloj 11.01982 | Camiones en Cola: 2
(E: 0,C: 61) Reloj 39.21102 | Camiones en Cola: 1
(E: 0,C: 62) Reloj 2.31927 | Camiones en Cola: 1
(E: 0,C: 62) Reloj 6.45791 | Camiones en Cola: 2
(E: 0,C: 62) Reloj 10.15347 | Camiones en Cola: 3
(E: 0,C: 63) Reloj 14.92699 | Camiones en Cola: 1
(E: 0,C: 63) Reloj 29.45732 | Camiones en Cola: 2
(E: 0,C: 64) Reloj 10.18381 | Camiones en Cola: 1
(E: 0,C: 64) Reloj 20.14148 | Camiones en Cola: 2
(E: 0,C: 65) Reloj 53.23717 | Camiones en Cola: 1
(E: 0,C: 66) Reloj 1.45724 | Camiones en Cola: 1
(E: 0,C: 66) Reloj 4.57325 | Camiones en Cola: 2
(E: 0,C: 66) Reloj 4.66508 | Camiones en Cola: 3
(E: 0,C: 67) Reloj 5.38594 | Camiones en Cola: 1
(E: 0,C: 67) Reloj 18.07052 | Camiones en Cola: 2
(E: 0,C: 68) Reloj 23.37791 | Camiones en Cola: 1
(E: 0,C: 69) Reloj 8.11723 | Camiones en Cola: 1
(E: 0,C: 69) Reloj 20.26326 | Camiones en Cola: 2
(E: 0,C: 70) Reloj 3.31299 | Camiones en Cola: 1
(E: 0,C: 70) Reloj 8.90022 | Camiones en Cola: 2
(E: 0,C: 70) Reloj 14.46276 | Camiones en Cola: 3
(E: 0,C: 71) Reloj 6.74977 | Camiones en Cola: 1
(E: 0,C: 71) Reloj 21.10005 | Camiones en Cola: 2
(E: 0,C: 72) Reloj 6.24544 | Camiones en Cola: 1
(E: 0,C: 72) Reloj 8.97866 | Camiones en Cola: 2
(E: 0,C: 72) Reloj 9.94246 | Camiones en Cola: 3
(E: 0,C: 72) Reloj 12.44281 | Camiones en Cola: 5
(E: 0,C: 72) Reloj 17.90621 | Camiones en Cola: 7
(E: 0,C: 73) Reloj 2.52406 | Camiones en Cola: 1
(E: 0,C: 73) Reloj 12.65481 | Camiones en Cola: 2
(E: 0,C: 73) Reloj 14.38745 | Camiones en Cola: 3
(E: 0,C: 73) Reloj 15.88773 | Camiones en Cola: 5
(E: 0,C: 74) Reloj 3.84655 | Camiones en Cola: 1
(E: 0,C: 74) Reloj 12.95713 | Camiones en Cola: 2
(E: 0,C: 74) Reloj 13.72045 | Camiones en Cola: 4
(E: 0,C: 74) Reloj 15.43931 | Camiones en Cola: 6
(E: 0,C: 75) Reloj 0.74312 | Camiones en Cola: 1
(E: 0,C: 75) Reloj 3.09432 | Camiones en Cola: 2
(E: 0,C: 75) Reloj 5.46356 | Camiones en Cola: 3
(E: 0,C: 76) Reloj 0.24116 | Camiones en Cola: 1
(E: 0,C: 76) Reloj 4.49938 | Camiones en Cola: 2
(E: 0,C: 76) Reloj 5.14326 | Camiones en Cola: 3
(E: 0,C: 76) Reloj 7.95553 | Camiones en Cola: 5
